title,url,discounted_price,original_price
10 x KN95 Dustproof Anti-haze Face Masks 95% Filtration N95 Mask NECEA-581218,https://www.tinydeal.com/10-x-kn95-dustproof-anti-haze-face-masks-95-filtration-n95-mask-p-200022.html,$25.02,$38.60 
50 x KN95 Face Masks 95% Filtration N95 Mouth Mask With CE FDA HHI-581866,https://www.tinydeal.com/50-x-kn95-face-masks-95-filtration-n95-mouth-mask-with-ce-fda-p-200363.html,$99.52,$179.13 
10 x KN95 Face Mask Respirator With Valve PM2.5 Mouth Mask Gauze Mask KB-581641,https://www.tinydeal.com/10-x-kn95-face-mask-respirator-with-valve-pm25-mouth-mask-gauze-mask-p-200341.html,$26.35,$46.41 
20 x KN95 Face Masks 95% Filtration N95 Mask NECEA-580961,https://www.tinydeal.com/20-x-kn95-face-masks-95-filtration-n95-mask-p-200361.html,$44.92,$69.17 
2 x KN95 Anti-haze Face Masks 95% Filtration N95 Mask NECEA-580960,https://www.tinydeal.com/2-x-kn95-anti-haze-face-masks-95-filtration-n95-mask-p-200021.html,$5.15,$10.19 
50 x Choebe CB Medical Disposable Anti-haze Face Masks 99% Filtration HHI-581271,https://www.tinydeal.com/50-x-choebe-cb-medical-disposable-anti-haze-face-masks-99-filtration-p-200006.html,$32.93,$51.36 
10 x Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask KB-581546,https://www.tinydeal.com/10-x-transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200338.html,$15.03,$24.09 
1/2/5/10 pcs Teflon Gas Hob Oil Protector Liner Reusable Stove Clean Mat Pad HHI-549769,https://www.tinydeal.com/12510-pcs-teflon-gas-hob-oil-protector-liner-reusable-stove-clean-mat-pad-p-175005.html,$1.41,$5.33 
Neoprene Short Beach Socks Diving Socks Non-Slip Antiskid Scuba Dive Boots SGD-548443,https://www.tinydeal.com/neoprene-short-beach-socks-diving-socks-non-slip-antiskid-scuba-dive-boots-p-174657.html,$3.11,$3.72 
1/2/4 pcs Posture Corrector Shoulder Back Brace Belt Vest Posture Supporter HBI-216132,https://www.tinydeal.com/124-pcs-posture-corrector-shoulder-back-brace-belt-vest-posture-supporter-p-100149.html,$3.89,$4.17 
Type-C to USB 3.0 Type A OTG Adapter ECACR-562051,https://www.tinydeal.com/type-to-usb-30-type-a-otg-adapter-p-178935.html,$1.36,$6.60 
5 x Reusable Face-Shielding Face Mask Anti-Fog Anti-Splash Face Shield KB-581849,https://www.tinydeal.com/5-x-reusable-face-shielding-face-mask-anti-fog-anti-splash-face-shield-p-200348.html,$14.41,$23.36 
